# date=2026-09-16T00:59:06,gpu=NVIDIA GeForce RTX 3090,driver=616.56,git=6a86c42+dirty,args=--n 8..26
impl,op,n,block_size,run,ms,ok
naive,scan,2048,256,2,0.103424,1
naive,scan,2048,256,3,0.075744,1
naive,scan,2048,256,4,0.382976,1
naive,scan,4096,256,0,0.077600,1
naive,scan,4096,256,1,0.080896,1
naive,scan,4096,256,2,0.077760,1
naive,scan,4096,256,3,0.093152,1
naive,scan,4096,256,4,0.089088,1
naive,scan,8192,256,0,0.088800,1
naive,scan,8192,256,1,0.266176,1
naive,scan,8192,256,2,0.085088,1
naive,scan,8192,256,3,0.089312,1
naive,scan,8192,256,4,0.090976,1
naive,scan,16384,256,0,0.174368,1
naive,scan,16384,256,1,0.089088,1
naive,scan,16384,256,2,0.100352,1
naive,scan,16384,256,3,0.092160,1
naive,scan,16384,256,4,0.091136,1
naive,scan,32768,256,0,0.124224,1
naive,scan,32768,256,1,0.218528,1
naive,scan,32768,256,2,0.116352,1
naive,scan,32768,256,3,0.127840,1
naive,scan,32768,256,4,0.129568,1
naive,scan,65536,256,0,0.105728,1
naive,scan,65536,256,1,0.319168,1
naive,scan,65536,256,2,0.190720,1
naive,scan,65536,256,3,0.107072,1
naive,scan,65536,256,4,0.106816,1
naive,scan,131072,256,0,0.124512,1
naive,scan,131072,256,1,0.204032,1
naive,scan,131072,256,2,0.125600,1
naive,scan,131072,256,3,0.305856,1
naive,scan,131072,256,4,0.198016,1
naive,scan,262144,256,0,0.138368,1
naive,scan,262144,256,1,0.390048,1
naive,scan,262144,256,2,0.169664,1
naive,scan,262144,256,3,0.130400,1
naive,scan,262144,256,4,0.210816,1
naive,scan,524288,256,0,0.171776,1
naive,scan,524288,256,1,0.227712,1
naive,scan,524288,256,2,0.234304,1
naive,scan,524288,256,3,0.223744,1
naive,scan,524288,256,4,0.165952,1
naive,scan,1048576,256,0,0.256640,1
naive,scan,1048576,256,1,0.345920,1
naive,scan,1048576,256,2,0.263776,1
naive,scan,1048576,256,3,0.338176,1
